"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
"https://apex.oracle.com/" :(200 | OK | SUCCESS )
"http://www.oracle.com/goto/oll" :(302 | Found | SUCCESS )
"https://www.google.co.in/index.html" :(200 | OK | SUCCESS )
"http://www.google.com/news" :(301 | Moved Permanently | SUCCESS )
"http://www.google.com/newzzz" :(404 | Not Found | ERROR )
"http://oracle.com/test.html" :(302 | Found | SUCCESS )
"https://www.senecacollege.ca/" :(200 | OK | SUCCESS )
